,close
18-05-28,27000.0
18-05-29,26900.0
18-05-30,26800.0
18-05-31,26850.0
18-06-01,27000.0
18-06-04,26950.0
18-06-05,27300.0
18-06-07,27400.0
18-06-08,28100.0
18-06-11,28100.0
18-06-12,28850.0
18-06-14,28650.0
18-06-15,28600.0
18-06-18,28800.0
18-06-19,28950.0
18-06-20,28450.0
18-06-21,27300.0
18-06-22,27650.0
18-06-25,27550.0
18-06-26,27050.0
18-06-27,26650.0
18-06-28,25950.0
18-06-29,26150.0
18-07-02,25850.0
18-07-03,25700.0
18-07-04,25750.0
18-07-05,25400.0
18-07-06,25500.0
18-07-09,25850.0
18-07-10,25950.0
18-07-11,25900.0
18-07-12,25900.0
18-07-13,25850.0
18-07-16,26000.0
18-07-17,26350.0
18-07-18,27000.0
18-07-19,26700.0
18-07-20,26800.0
18-07-23,26700.0
18-07-24,26400.0
18-07-25,26600.0
18-07-26,26550.0
18-07-27,26400.0
18-07-30,26350.0
18-07-31,26000.0
18-08-01,25900.0
18-08-02,25800.0
18-08-03,25800.0
18-08-06,26000.0
18-08-07,26150.0
18-08-08,26000.0
18-08-09,26800.0
18-08-10,28900.0
18-08-13,28950.0
18-08-14,29550.0
18-08-16,28700.0
18-08-17,29450.0
18-08-20,29350.0
18-08-21,29350.0
18-08-22,29200.0
18-08-23,29750.0
18-08-24,29650.0
18-08-27,28900.0
18-08-28,29150.0
18-08-29,28400.0
18-08-30,28600.0
18-08-31,28950.0
18-09-03,28500.0
18-09-04,28500.0
18-09-05,28450.0
18-09-06,28500.0
18-09-07,28400.0
18-09-10,28050.0
18-09-11,27950.0
18-09-12,27000.0
18-09-13,27000.0
18-09-14,27600.0
18-09-17,27450.0
18-09-18,27850.0
18-09-19,27900.0
18-09-20,27800.0
18-09-21,28450.0
18-09-27,28350.0
18-09-28,28700.0
18-10-01,28250.0
18-10-02,27750.0
18-10-04,28100.0
18-10-05,28450.0
18-10-08,28300.0
18-10-10,28700.0
18-10-11,28150.0
18-10-12,27450.0
18-10-15,28450.0
18-10-16,28800.0
18-10-17,29550.0
18-10-18,29600.0
18-10-19,29450.0
18-10-22,30150.0
18-10-23,29800.0
18-10-24,29600.0
18-10-25,29300.0
18-10-26,28600.0
18-10-29,28150.0
18-10-30,27950.0
18-10-31,28700.0
18-11-01,28000.0
18-11-02,28500.0
18-11-05,28700.0
18-11-06,28700.0
18-11-07,28850.0
18-11-08,29150.0
18-11-09,30100.0
